mm,d18O
1,-3.861
2,-3.963
3,-4.065
4,-4.202
5,-4.208
6,-4.235
7,-4.227
8,-4.031
9,-3.991
10,-3.617
11,-3.628
12,-3.305
13,-3.619
14,-3.689
15,-4.002
16,-4.025
17,-4.064
18,-4.22
19,-3.999
20,-3.766
21,-3.611
22,-3.363
23,-3.19
24,-3.313
25,-3.439
26,-3.636
27,-3.933
28,-4.119
29,-4.149
30,-3.969
31,-4.024
32,-3.894
33,-3.612
34,-3.451
35,-3.487
36,-3.596
37,-3.71
38,-3.95
39,-4.048
40,-4.056
41,-3.885
42,-3.591
43,-3.285
44,-3.295
45,-3.51
46,-3.841
47,-4.017
48,-4.121
49,-3.987
50,-3.79
51,-3.635
52,-3.13
53,-3.078
54,-3.083
55,-3.192
56,-3.804
57,-4.11
58,-4.328
59,-4.252
60,-4.233
61,-4.17
62,-3.956
63,-3.535
64,-3.709
65,-3.934
66,-3.895
67,-4.214
68,-4.255
69,-4.136
70,-4.07
71,-3.95
72,-3.877
73,-3.608
74,-3.244
75,-3.223
76,-3.06
77,-3.589
78,-3.976
79,-4.047
80,-4.137
81,-4.047
82,-3.876
83,-3.719
84,-3.512
85,-3.387
86,-3.155
87,-3.258
88,-3.567
89,-4.01
90,-4.072
91,-4.012
92,-3.945
93,-3.632
94,-3.332
95,-3.172
96,-3.259
97,-3.642
98,-3.75
99,-4.12
100,-4.137
101,-4.253
102,-4.258
103,-4.223
104,-4.222
105,-4.158
106,-3.964
107,-3.924
108,-3.557
109,-3.335
110,-3.23
111,-3.382
112,-3.731
113,-3.86
114,-3.939
115,-4.116
116,-4.236
117,-3.905
118,-3.749
119,-3.632
120,-3.402
121,-3.271
122,-3.569
123,-3.499
124,-3.852
125,-3.879
126,-3.905
127,-3.861
128,-3.665
129,-3.466
130,-3.35
131,-3.333
132,-3.284
133,-3.655
134,-4.09
135,-3.978
136,-4.099
137,-4.006
138,-3.533
139,-3.994
140,-4.116
141,-4.209
142,-4.116
143,-4.042
144,-3.611
145,-3.961
146,-3.863
147,-3.978
148,-4.144
149,-4.016
150,-3.927
151,-3.495
152,-3.218
153,-3.522
154,-3.589
155,-3.993
156,-4.211
157,-4.079
158,-4.172
159,-3.583
160,-3.355
161,-3.335
162,-3.516
163,-3.841
164,-4.274
165,-4.101
166,-3.976
167,-4.002
168,-3.847
169,-3.685
170,-3.462
171,-3.349
172,-3.299
173,-3.632
174,-3.895
175,-4.129
176,-4.138
177,-4.315
