Depth_point,d18O,Date
177,-4.315,8/1/2024
164,-4.274,8/1/2023
156,-4.211,9/1/2022
148,-4.144,8/1/2021
141,-4.209,9/1/2020
134,-4.09,8/1/2019
126,-3.905,8/1/2018
116,-4.236,7/1/2017
102,-4.258,8/1/2016
90,-4.072,10/1/2015
80,-4.137,8/1/2014
68,-4.255,8/1/2013
58,-4.328,8/1/2012
48,-4.121,9/1/2011
40,-4.056,8/1/2010
29,-4.149,8/1/2009
18,-4.22,8/1/2008
7,-4.227,8/1/2007
172,-3.299,2/1/2024
161,-3.335,2/1/2023
152,-3.218,2/1/2022
144,-3.611,3/1/2021
138,-3.533,2/1/2020
132,-3.284,3/1/2019
121,-3.271,1/1/2018
110,-3.23,2/1/2017
95,-3.172,1/1/2016
86,-3.155,2/1/2015
76,-3.06,2/1/2014
63,-3.535,2/1/2013
54,-3.083,2/1/2012
43,-3.285,3/1/2011
34,-3.451,1/1/2010
23,-3.19,1/1/2009
12,-3.305,2/1/2008
1,-3.861,1/1/2007
