Table 1
Year,d18O,,,
15-Feb-24,-3.349,,,
15-Jan-24,-3.462,,,
15-Dec-23,-3.685,,,
15-Nov-23,-3.847,,,
15-Sep-23,-4.002,,,
15-Aug-23,-3.976,,,
15-Jul-23,-4.10099999999967,,,
15-Jun-23,-4.274,,,
15-May-23,-3.841,,,
15-Apr-23,-3.51600000000086,,,
15-Mar-23,-3.33500000000048,,,
15-Feb-23,-3.355,,,
15-Jan-23,-3.50700000000014,,,
15-Dec-22,-3.77933333333406,,,
15-Nov-22,-4.172,,,
15-Oct-22,-4.11000000000006,,,
15-Sep-22,-4.12299999999992,,,
15-Aug-22,-4.211,,,
15-Jul-22,-4.06566666666653,,,
15-Jun-22,-3.85833333333308,,,
15-May-22,-3.589,,,
15-May-22,-3.54433333333342,,,
15-Apr-22,-3.42066666666685,,,
15-Mar-22,-3.218,,,
15-Feb-22,-3.4026666666665,,,
15-Jan-22,-3.63900000000026,,,
15-Dec-21,-3.927,,,
15-Nov-21,-3.98633333333328,,,
15-Oct-21,-4.05866666666674,,,
15-Sep-21,-4.144,,,
15-Aug-21,-4.03333333333343,,,
15-Jul-21,-3.9396666666666,,,
15-Jun-21,-3.863,,,
15-May-21,-3.92833333333327,,,
15-Apr-21,-3.84433333333312,,,
15-Mar-21,-3.611,,,
15-Feb-21,-4.042,,,
15-Jan-21,-4.116,,,
15-Dec-20,-4.209,,,
15-Nov-20,-4.116,,,
15-Oct-20,-3.994,,,
15-Sep-20,-3.533,,,
15-Aug-20,-4.00599999999871,,,
15-Jul-20,-4.09899999999967,,,
15-Jun-20,-3.978,,,
15-May-20,-4.09,,,
15-Apr-20,-3.655,,,
15-Mar-20,-3.284,,,
15-Feb-20,-3.32891666666673,,,
15-Jan-20,-3.34716666666667,,,
15-Nov-19,-3.43699999999993,,,
15-Oct-19,-3.59866666666618,,,
15-Sep-19,-3.77933333333309,,,
15-Aug-19,-3.88299999999995,,,
15-Jul-19,-3.89416666666667,,,
15-Jun-19,-3.86999999999998,,,
15-May-19,-3.7637500000013,,,
15-Apr-19,-3.51066666666649,,,
15-Mar-19,-3.54416666666703,,,
15-Feb-19,-3.271,,,
15-Jan-19,-3.39108333333312,,,
15-Dec-18,-3.59366666666639,,,
15-Nov-18,-3.71975000000021,,,
15-Oct-18,-3.85300000000013,,,
15-Sep-18,-4.09808333333307,,,
15-Aug-18,-4.17600000000015,,,
15-Jul-18,-4.04225000000011,,,
15-Jun-18,-3.91266666666673,,,
15-May-18,-3.82775000000031,,,
15-Apr-18,-3.67283333333376,,,
15-Mar-18,-3.36933333333343,,,
15-Feb-18,-3.23,,,
15-Jan-18,-3.3691538461534,,,
15-Dec-17,-3.66992307692317,,,
15-Nov-17,-3.94246153846162,,,
15-Oct-17,-4.08338461538457,,,
15-Sep-17,-4.20723076923091,,,
15-Aug-17,-4.22292307692307,,,
15-Jul-17,-4.25761538461539,,,
15-Jun-17,-4.22623076923065,,,
15-May-17,-4.13046153846148,,,
15-Apr-17,-3.92076923076877,,,
15-Mar-17,-3.67523076923069,,,
