time,supplementary_salinity
6/3/2010,38.57043457
6/10/2010,39.49493027
6/17/2010,39.4304657
6/24/2010,38.97245789
7/1/2010,39.26427078
7/8/2010,39.565979
7/15/2010,39.6766243
7/22/2010,39.12534332
7/29/2010,39.02751541
8/5/2010,39.11089706
8/12/2010,38.9068718
8/19/2010,39.37636948
8/26/2010,39.73934174
9/2/2010,39.65042877
9/9/2010,39.95116806
9/16/2010,39.76585388
9/23/2010,39.2705574
9/30/2010,39.44498825
10/7/2010,39.50720978
10/14/2010,39.38149261
10/21/2010,39.03245163
10/28/2010,38.66550064
11/4/2010,39.09882736
11/11/2010,39.25088501
11/18/2010,38.69367218
11/25/2010,39.55514908
12/2/2010,39.3053894
12/9/2010,39.29242706
12/16/2010,39.6141243
12/23/2010,39.23174286
12/30/2010,38.73406219
1/6/2011,39.2803688
1/13/2011,39.20931244
1/20/2011,39.2102356
1/27/2011,39.45557785
2/3/2011,39.26916885
2/10/2011,39.41813278
2/17/2011,39.48315048
2/24/2011,39.39764023
3/3/2011,39.50470734
3/10/2011,39.0297699
3/17/2011,39.27017212
3/24/2011,38.97537231
3/31/2011,38.51138306
4/7/2011,38.65168762
4/14/2011,38.80717468
4/21/2011,39.24649811
4/28/2011,39.24483109
5/5/2011,39.26905823
5/12/2011,39.49164581
5/19/2011,38.99972153
5/26/2011,39.19226837
6/2/2011,39.02646637
6/9/2011,38.92246628
6/16/2011,39.39067459
6/23/2011,39.34926987
6/30/2011,38.92523956
7/7/2011,39.05101013
7/14/2011,39.2130127
7/21/2011,38.48661423
7/28/2011,39.35243988
8/4/2011,39.69367599
8/11/2011,39.69136047
8/18/2011,39.63926697
8/25/2011,39.42642212
9/1/2011,39.73077774
9/8/2011,39.60533905
9/15/2011,39.82213974
9/22/2011,39.84762955
9/29/2011,39.80915833
10/6/2011,39.3825531
10/13/2011,39.13289261
10/20/2011,39.34807205
10/27/2011,39.63725281
11/3/2011,39.7003746
11/10/2011,39.71918488
11/17/2011,39.13114929
11/24/2011,39.27317047
12/1/2011,39.70572281
12/8/2011,39.3780899
12/15/2011,39.1619606
12/22/2011,39.12784958
12/29/2011,38.4589386
1/5/2012,38.8625946
1/12/2012,39.08094788
1/19/2012,38.79831696
1/26/2012,38.8727951
2/2/2012,38.97883224
2/9/2012,38.97415924
2/16/2012,38.9473877
2/23/2012,39.4172554
3/1/2012,39.44630051
3/8/2012,38.95707321
3/15/2012,38.87470627
3/22/2012,38.84826279
3/29/2012,38.59852982
4/5/2012,38.45423126
4/12/2012,38.50738907
4/19/2012,38.45365143
4/26/2012,38.85154343
5/3/2012,39.03042603
5/10/2012,38.99657059
5/17/2012,38.41531754
5/24/2012,38.35077667
5/31/2012,38.70664215
6/7/2012,38.96090317
6/14/2012,38.94182968
6/21/2012,38.61094284
6/28/2012,38.92346191
7/5/2012,39.16763687
7/12/2012,38.28807831
7/19/2012,37.85632706
7/26/2012,38.02355576
8/2/2012,38.71765518
8/9/2012,38.19491196
8/16/2012,38.22846603
8/23/2012,38.58932495
8/30/2012,38.47724533
9/6/2012,39.19195938
9/13/2012,39.45330429
9/20/2012,39.10718155
9/27/2012,38.98759842
10/4/2012,39.19125748
10/11/2012,39.44194412
10/18/2012,39.3863945
10/25/2012,39.31632233
11/1/2012,39.23003387
11/8/2012,39.461483
11/15/2012,39.53623581
11/22/2012,39.06446075
11/29/2012,38.53640366
12/6/2012,38.80220032
12/13/2012,39.54955292
12/20/2012,39.58400726
12/27/2012,39.83251572
1/3/2013,39.66730499
1/10/2013,39.49708557
1/17/2013,39.07483292
1/24/2013,38.41356659
1/31/2013,38.56073761
2/7/2013,39.13943481
2/14/2013,38.9070549
2/21/2013,38.86805725
2/28/2013,38.23792648
3/7/2013,38.09939194
3/14/2013,38.59415054
3/21/2013,37.89749146
3/28/2013,37.26791763
4/4/2013,37.31983948
4/11/2013,38.18105316
4/18/2013,38.82382584
4/25/2013,39.36935043
5/2/2013,39.12465668
5/9/2013,38.38667297
5/16/2013,38.57067108
5/23/2013,38.60100937
5/30/2013,38.85851669
6/6/2013,38.58576965
6/13/2013,38.86425781
6/20/2013,38.10320282
6/27/2013,37.69496918
7/4/2013,38.48549271
7/11/2013,38.44270325
7/18/2013,39.55036163
7/25/2013,39.58298111
8/1/2013,38.49767685
8/8/2013,38.79938889
8/15/2013,38.16077423
8/22/2013,38.00732422
8/29/2013,38.14834976
9/5/2013,38.49572372
9/12/2013,38.57150269
9/19/2013,38.14682388
9/26/2013,38.13827896
10/3/2013,39.30330276
10/10/2013,38.91952896
10/17/2013,38.13517761
10/24/2013,37.87059021
10/31/2013,38.87172318
11/7/2013,39.12955475
11/14/2013,38.62470245
11/21/2013,38.2889328
11/28/2013,38.10478973
12/5/2013,39.21753693
12/12/2013,39.24167633
12/19/2013,38.99537659
12/26/2013,39.08972931
1/2/2014,39.74765396
1/9/2014,39.77691269
1/16/2014,38.84803772
1/23/2014,38.65444946
1/30/2014,38.87350845
2/6/2014,39.25144196
2/13/2014,39.61366272
2/20/2014,39.79326248
2/27/2014,39.56473923
3/6/2014,39.5760498
3/13/2014,39.22720718
3/20/2014,39.27149963
3/27/2014,38.8276329
4/3/2014,38.50999832
4/10/2014,38.44970703
4/17/2014,38.62631607
4/24/2014,39.2415657
5/1/2014,39.47480011
5/8/2014,38.97128296
5/15/2014,38.7974472
5/22/2014,38.70671082
5/29/2014,38.50440598
6/5/2014,38.1110878
6/12/2014,38.35863495
6/19/2014,38.91860199
6/26/2014,38.58390045
7/3/2014,38.84189224
7/10/2014,38.48186111
7/17/2014,38.73328781
7/24/2014,39.44068909
7/31/2014,39.53194046
8/7/2014,38.73453903
8/14/2014,39.1627655
8/21/2014,38.88434601
8/28/2014,38.22993469
9/4/2014,38.69629288
9/11/2014,39.18381119
9/18/2014,38.95942688
9/25/2014,38.47070313
10/2/2014,38.38780975
10/9/2014,38.67378616
10/16/2014,38.65239334
10/23/2014,37.75070953
10/30/2014,38.09822464
11/6/2014,38.29481125
11/13/2014,38.02446747
11/20/2014,38.45326996
11/27/2014,38.65148544
12/4/2014,38.20939255
12/11/2014,38.73602676
12/18/2014,38.88715744
12/25/2014,38.67785263
1/1/2015,38.61849976
1/8/2015,38.33760452
1/15/2015,38.27581787
1/22/2015,38.5815506
1/29/2015,39.13453293
2/5/2015,39.4726944
2/12/2015,39.50147247
2/19/2015,39.42162704
2/26/2015,39.07880783
3/5/2015,38.67722321
3/12/2015,39.14497375
3/19/2015,39.20111847
3/26/2015,38.84870148
4/2/2015,37.71149445
4/9/2015,38.408638
4/16/2015,37.96793747
4/23/2015,38.02258301
4/30/2015,38.54564285
5/7/2015,38.8690567
5/14/2015,38.93265533
5/21/2015,38.66281128
5/28/2015,38.81562805
6/4/2015,38.67842102
6/11/2015,38.95860291
6/18/2015,38.543396
6/25/2015,38.28107452
7/2/2015,38.9176445
7/9/2015,38.68034363
7/16/2015,38.03092575
7/23/2015,38.27473831
7/30/2015,38.47057724
8/6/2015,38.90774918
8/13/2015,38.83304977
8/20/2015,38.4901123
8/27/2015,38.97146988
9/3/2015,39.51829529
9/10/2015,39.44779968
9/17/2015,38.77772903
9/24/2015,38.7166214
10/1/2015,38.36284637
10/8/2015,38.5823822
10/15/2015,39.09688568
10/22/2015,39.4451828
10/29/2015,39.15499496
11/5/2015,39.11083603
11/12/2015,38.92929077
11/19/2015,39.44091797
11/26/2015,39.74455643
12/3/2015,39.79273987
12/10/2015,39.59727097
12/17/2015,39.64906693
