Date_MSUD,d18O_MSUD,Date_SMII,d18O_SMII
15-Feb-2024,-3.349,15-Feb-2014,-3.533
15-Jan-2024,-3.462,15-Mar-2014,-3.83366666666639
15-Dec-2023,-3.685,15-Apr-2014,-4.08933333333353
15-Nov-2023,-3.847,15-May-2014,-4.3
15-Sep-2023,-4.002,15-Jun-2014,-4.26800000000009
15-Aug-2023,-3.976,15-Jul-2014,-4.067666666667
15-Jul-2023,-4.10099999999967,15-Aug-2014,-3.699
15-Jun-2023,-4.274,15-Sep-2014,-3.73766666666656
15-May-2023,-3.841,15-Oct-2014,-3.77099999999997
15-Apr-2023,-3.51600000000086,15-Nov-2014,-3.799
15-Mar-2023,-3.33500000000048,15-Dec-2014,-3.67966666666678
15-Feb-2023,-3.355,15-Jan-2015,-3.6023333333333
15-Jan-2023,-3.50700000000014,15-Feb-2015,-3.567
15-Dec-2022,-3.77933333333406,15-Mar-2015,-3.80166666666645
15-Nov-2022,-4.172,15-Apr-2015,-3.873
15-Oct-2022,-4.11000000000006,15-May-2015,-4.0375000000005
15-Sep-2022,-4.12299999999992,15-Jun-2015,-4.17066666666671
15-Aug-2022,-4.211,15-Jul-2015,-4.13383333333327
15-Jul-2022,-4.06566666666653,15-Aug-2015,-4.201
15-Jun-2022,-3.85833333333308,15-Sep-2015,-4.00016666666617
15-May-2022,-3.589,15-Oct-2015,-4.10899999999972
15-May-2022,-3.54433333333342,15-Nov-2015,-3.7165000000007
15-Apr-2022,-3.42066666666685,15-Dec-2015,-3.45066666666682
15-Mar-2022,-3.218,15-Jan-2016,-3.35533333333315
15-Feb-2022,-3.4026666666665,15-Feb-2016,-3.279
15-Jan-2022,-3.63900000000026,15-Mar-2016,-3.647
15-Dec-2021,-3.927,15-Apr-2016,-4.18
15-Nov-2021,-3.98633333333328,15-May-2016,-4.269
15-Oct-2021,-4.05866666666674,15-Jun-2016,-4.28099999999997
15-Sep-2021,-4.144,15-Jul-2016,-4.36600000000001
15-Aug-2021,-4.03333333333343,15-Aug-2016,-4.369
15-Jul-2021,-3.9396666666666,15-Sep-2016,-4.24300000000034
15-Jun-2021,-3.863,15-Oct-2016,-4.237
15-May-2021,-3.92833333333327,15-Nov-2016,-3.944
15-Apr-2021,-3.84433333333312,15-Dec-2016,-3.706
15-Mar-2021,-3.611,15-Jan-2017,-3.293
15-Feb-2021,-4.042,15-Feb-2017,-3.219
15-Jan-2021,-4.116,15-Mar-2017,-3.23883333333318
15-Dec-2020,-4.209,15-Apr-2017,-3.37100000000046
15-Nov-2020,-4.116,15-May-2017,-3.662
15-Oct-2020,-3.994,15-Jun-2017,-3.78033333333333
15-Sep-2020,-3.533,15-Jul-2017,-3.93783333333388
15-Aug-2020,-4.00599999999871,15-Aug-2017,-4.279
15-Jul-2020,-4.09899999999967,15-Sep-2017,-4.26250000000002
15-Jun-2020,-3.978,15-Oct-2017,-4.23533333333295
15-May-2020,-4.09,15-Nov-2017,-4.08999999999992
15-Apr-2020,-3.655,15-Dec-2017,-3.82733333333371
15-Mar-2020,-3.284,15-Jan-2018,-3.60983333333308
15-Feb-2020,-3.32891666666673,15-Feb-2018,-3.271
15-Jan-2020,-3.34716666666667,15-Mar-2018,-3.35875000000012
15-Nov-2019,-3.43699999999993,15-Apr-2018,-3.52100000000054
15-Oct-2019,-3.59866666666618,15-May-2018,-3.73425000000016
15-Sep-2019,-3.77933333333309,15-Jun-2018,-3.975
15-Aug-2019,-3.88299999999995,15-Jul-2018,-3.939
15-Jul-2019,-3.89416666666667,15-Aug-2018,-3.8005
15-Jun-2019,-3.86999999999998,15-Sep-2018,-3.57325
15-May-2019,-3.7637500000013,15-Oct-2018,-3.271
15-Apr-2019,-3.51066666666649,15-Nov-2018,-3.06925000000014
15-Mar-2019,-3.54416666666703,15-Dec-2018,-2.99100000000002
15-Feb-2019,-3.271,15-Jan-2019,-2.97674999999999
15-Jan-2019,-3.39108333333312,15-Feb-2019,-2.967
15-Dec-2018,-3.59366666666639,15-Mar-2019,-3.31466666666588
15-Nov-2018,-3.71975000000021,15-Apr-2019,-3.63716666666631
15-Oct-2018,-3.85300000000013,15-May-2019,-3.89674999999947
15-Sep-2018,-4.09808333333307,15-Jun-2019,-4.06299999999982
15-Aug-2018,-4.17600000000015,15-Jul-2019,-4.15925000000018
15-Jul-2018,-4.04225000000011,15-Aug-2019,-4.134
15-Jun-2018,-3.91266666666673,15-Sep-2019,-4.07016666666702
15-May-2018,-3.82775000000031,15-Oct-2019,-3.89633333333333
15-Apr-2018,-3.67283333333376,15-Nov-2019,-3.64675000000024
15-Mar-2018,-3.36933333333343,15-Dec-2019,-3.29616666666714
15-Feb-2018,-3.23,15-Jan-2020,-3.18683333333332
15-Jan-2018,-3.3691538461534,15-Feb-2020,-3.174
15-Dec-2017,-3.66992307692317,15-Mar-2020,-3.48258333333263
15-Nov-2017,-3.94246153846162,15-Apr-2020,-3.76816666666636
15-Oct-2017,-4.08338461538457,15-May-2020,-3.99624999999953
15-Sep-2017,-4.20723076923091,15-Jun-2020,-4.10766666666662
15-Aug-2017,-4.22292307692307,15-Jul-2020,-4.13158333333338
15-Jul-2017,-4.25761538461539,15-Aug-2020,-4.257
15-Jun-2017,-4.22623076923065,15-Sep-2020,-4.35500000000031
15-May-2017,-4.13046153846148,15-Oct-2020,-4.18699999999969
