Time,sst
1/1/07,24.243225
2/1/07,24.709286
3/1/07,24.97129
4/1/07,26.831
5/1/07,28.981936
6/1/07,29.571333
7/1/07,30.913548
8/1/07,31.252256
9/1/07,30.205666
10/1/07,29.648386
11/1/07,27.72
12/1/07,26.504839
1/1/08,25.054516
2/1/08,23.871378
3/1/08,25.641935
4/1/08,26.829332
5/1/08,27.946451
6/1/08,29.385
7/1/08,30.793549
8/1/08,31.77258
9/1/08,30.666666
10/1/08,29.696774
11/1/08,28.268
12/1/08,26.574516
1/1/09,25.23645
2/1/09,25.744999
3/1/09,25.51871
4/1/09,26.622665
5/1/09,27.764193
6/1/09,29.187332
7/1/09,31.096128
8/1/09,31.668386
9/1/09,31.129333
10/1/09,30.398386
11/1/09,29.538666
12/1/09,27.312258
1/1/10,25.56903
2/1/10,26.097143
3/1/10,25.961935
4/1/10,26.592999
5/1/10,28.04258
6/1/10,29.031332
7/1/10,30.276773
8/1/10,31.742903
9/1/10,31.259666
10/1/10,31.134838
11/1/10,29.98
12/1/10,28.47129
1/1/11,26.478708
2/1/11,25.366072
3/1/11,24.982903
4/1/11,25.845999
5/1/11,27.509676
6/1/11,28.678333
7/1/11,29.72516
8/1/11,30.584192
9/1/11,30.495998
10/1/11,30.070322
11/1/11,28.464333
12/1/11,25.649677
1/1/12,25.54129
2/1/12,24.604828
3/1/12,24.744516
4/1/12,26.425
5/1/12,28.299355
6/1/12,29.199
7/1/12,31.023226
8/1/12,31.54613
9/1/12,31.077665
10/1/12,30.494192
11/1/12,29.237999
12/1/12,27.330967
1/1/13,25.428064
2/1/13,25.325714
3/1/13,26.102257
4/1/13,27.056665
5/1/13,28.694838
6/1/13,29.314
7/1/13,30.15387
8/1/13,30.480644
9/1/13,30.296
10/1/13,29.015484
11/1/13,27.949333
12/1/13,26.414839
1/1/14,25.10516
2/1/14,24.396786
3/1/14,25.084192
4/1/14,26.755667
5/1/14,28.31387
6/1/14,28.855333
7/1/14,30.347742
8/1/14,31.039677
9/1/14,30.328667
10/1/14,29.157097
11/1/14,27.822332
12/1/14,26.76387
1/1/15,25.17742
2/1/15,25.000357
3/1/15,25.564838
4/1/15,25.996666
5/1/15,27.663548
6/1/15,28.682667
7/1/15,30.533226
8/1/15,30.616451
9/1/15,31.009333
10/1/15,30.950968
11/1/15,29.157999
12/1/15,26.493225
1/1/16,24.93871
2/1/16,25.181725
3/1/16,26.443548
4/1/16,28.189
5/1/16,29.579678
6/1/16,29.832998
7/1/16,31.358065
8/1/16,31.550644
9/1/16,31.017666
10/1/16,31.029354
11/1/16,29.982666
12/1/16,27.912903
1/1/17,26.267418
2/1/17,25.277857
3/1/17,25.882902
4/1/17,27.067999
5/1/17,28.575806
6/1/17,29.064
7/1/17,31.135483
8/1/17,31.019999
9/1/17,30.236
10/1/17,29.525484
11/1/17,27.835667
12/1/17,26.407742
1/1/18,24.828064
2/1/18,25.085
3/1/18,26.743225
4/1/18,27.555332
5/1/18,28.899677
6/1/18,29.747334
7/1/18,30.829353
8/1/18,31.735483
9/1/18,31.040667
10/1/18,30.63
11/1/18,28.746332
12/1/18,27.507742
1/1/19,26.26645
2/1/19,25.588928
3/1/19,25.029999
4/1/19,26.089333
5/1/19,28.724516
6/1/19,29.956665
7/1/19,31.101612
8/1/19,31.664192
9/1/19,31.164333
10/1/19,30.676773
11/1/19,29.815332
12/1/19,27.257095
1/1/20,25.676128
2/1/20,24.376896
3/1/20,25.166128
4/1/20,26.601665
5/1/20,28.311289
6/1/20,28.341333
7/1/20,30.841612
8/1/20,31.85387
9/1/20,32.184998
10/1/20,31.499353
11/1/20,29.768
12/1/20,27.800322
1/1/21,26.723547
2/1/21,25.980356
3/1/21,25.593225
4/1/21,26.662666
5/1/21,29.417097
6/1/21,28.987
7/1/21,30.585484
8/1/21,31.455482
9/1/21,30.868666
10/1/21,29.74742
11/1/21,29.144667
12/1/21,27.575806
1/1/22,25.460321
2/1/22,23.888927
3/1/22,24.493547
4/1/22,27.043
5/1/22,28.698065
6/1/22,28.991999
7/1/22,31.025806
8/1/22,31.568708
9/1/22,31.474333
10/1/22,30.600967
11/1/22,29.539333
12/1/22,27.546774
1/1/23,25.888063
2/1/23,24.90357
3/1/23,25.608065
4/1/23,26.177
5/1/23,28.35129
6/1/23,30.845333
7/1/23,31.76129
8/1/23,32.414192
9/1/23,31.701332
10/1/23,30.769032
11/1/23,29.037333
12/1/23,27.98742
1/1/24,26.336773
2/1/24,24.581724
3/1/24,25.036451
4/1/24,26.774332
5/1/24,28.724194
6/1/24,30.290667
7/1/24,31.877419
8/1/24,31.874516
9/1/24,31.258333
10/1/24,30.453548
11/1/24,29.119999
12/1/24,26.718063
1/1/25,25.628386
2/1/25,25.350357
3/1/25,25.131613
4/1/25,26.931
